iter	Passed	Remaining
0	159	159810
1	161	80748
2	163	54350
3	165	41153
4	168	33447
5	170	28240
6	172	24451
7	174	21592
8	175	19354
9	177	17579
10	179	16112
11	181	14933
12	183	13909
13	185	13061
14	187	12287
15	188	11615
16	190	11013
17	192	10475
18	194	10039
19	197	9668
20	199	9296
21	201	8937
22	202	8612
23	204	8312
24	205	8033
25	207	7783
26	209	7560
27	211	7347
28	213	7147
29	215	6955
30	216	6776
31	218	6613
32	220	6466
33	222	6331
34	225	6205
35	226	6073
36	228	5948
37	230	5827
38	231	5714
39	233	5607
40	235	5518
41	237	5423
42	239	5331
43	241	5238
44	242	5154
45	244	5073
46	246	4991
47	247	4912
48	249	4839
49	251	4774
50	253	4711
51	254	4644
52	256	4582
53	258	4521
54	259	4462
55	261	4407
56	263	4353
57	265	4305
58	266	4256
59	268	4210
60	270	4162
61	272	4116
62	273	4072
63	275	4030
64	277	3991
65	279	3951
66	280	3911
67	282	3870
68	284	3833
69	285	3794
70	287	3756
71	288	3719
72	290	3685
73	291	3652
74	293	3624
75	295	3596
76	297	3567
77	299	3543
78	301	3513
79	303	3485
80	304	3457
81	306	3433
82	309	3414
83	310	3389
84	312	3363
85	314	3338
86	315	3314
87	317	3291
88	319	3269
89	321	3253
90	323	3235
91	325	3215
92	327	3196
93	329	3174
94	331	3156
95	333	3138
96	334	3118
97	337	3102
98	338	3083
99	340	3063
100	342	3044
101	343	3025
102	345	3007
103	347	2990
104	348	2973
105	350	2956
106	352	2944
107	354	2928
108	356	2911
109	357	2894
110	359	2879
111	361	2864
112	362	2849
113	364	2833
114	366	2823
115	368	2810
116	370	2794
117	371	2780
118	373	2767
119	375	2753
120	377	2740
121	378	2724
122	380	2711
123	382	2700
124	384	2688
125	385	2676
126	387	2662
127	389	2652
128	390	2639
129	392	2627
130	394	2615
131	396	2605
132	397	2593
133	399	2581
134	401	2571
135	402	2559
136	404	2551
137	406	2540
138	408	2528
139	409	2517
140	411	2507
141	412	2493
142	414	2482
143	415	2472
144	417	2462
145	419	2451
146	420	2441
147	422	2431
148	424	2421
149	425	2413
150	427	2405
151	429	2397
152	431	2388
153	433	2379
154	434	2370
155	436	2361
156	438	2353
157	440	2345
158	442	2339
159	444	2331
160	445	2320
161	447	2312
162	448	2304
163	450	2295
164	451	2287
165	453	2278
